Timestamp,Angle,Buzzer
59798,85,OFF
59919,85,OFF
60041,85,OFF
60162,85,OFF
60282,85,OFF
60404,90,OFF
60525,85,OFF
60646,90,OFF
60768,85,OFF
60889,90,OFF
61009,81,OFF
61131,85,OFF
61252,85,OFF
61373,85,OFF
61495,85,OFF
61616,85,OFF
61736,90,OFF
61858,85,OFF
61979,85,OFF
62100,85,OFF
62222,85,OFF
62343,85,OFF
62464,85,OFF
62585,85,OFF
62706,85,OFF
62827,85,OFF
62949,90,OFF
63070,90,OFF
63191,90,OFF
63311,85,OFF
63433,90,OFF
63554,90,OFF
63675,90,OFF
63797,85,OFF
63918,90,OFF
64038,85,OFF
64160,85,OFF
64281,90,OFF
64402,85,OFF
64524,90,OFF
64645,90,OFF
64765,81,OFF
64887,85,OFF
65008,81,OFF
65129,85,OFF
65251,85,OFF
65372,85,OFF
65492,85,OFF
65614,85,OFF
65735,90,OFF
65856,85,OFF
65977,90,OFF
66099,90,OFF
66220,90,OFF
66340,85,OFF
66462,81,OFF
66583,81,OFF
66704,85,OFF
66826,81,OFF
66947,85,OFF
67067,85,OFF
67189,85,OFF
67310,85,OFF
67431,85,OFF
67553,85,OFF
67674,85,OFF
67794,85,OFF
67916,90,OFF
68037,85,OFF
68158,85,OFF
68280,85,OFF
68401,85,OFF
68521,90,OFF
68642,90,OFF
68764,90,OFF
68885,90,OFF
69006,90,OFF
69128,85,OFF
69249,85,OFF
69369,85,OFF
69491,85,OFF
69612,85,OFF
69733,90,OFF
69855,85,OFF
69976,85,OFF
70096,90,OFF
70218,90,OFF
70339,85,OFF
70460,90,OFF
70582,85,OFF
70703,85,OFF
70823,81,OFF
70945,85,OFF
71066,85,OFF
71187,85,OFF
71309,85,OFF
71430,85,OFF
71550,90,OFF
71672,90,OFF
71793,85,OFF
71914,72,OFF
72035,90,OFF
72157,85,OFF
72278,90,OFF
72398,85,OFF
72520,85,OFF
72641,85,OFF
72762,90,OFF
72884,85,OFF
73005,85,OFF
73125,90,OFF
73247,85,OFF
73368,85,OFF
73489,81,OFF
73611,81,OFF
73732,90,OFF
73852,85,OFF
73974,90,OFF
74095,90,OFF
74216,85,OFF
74338,85,OFF
74459,85,OFF
74579,85,OFF
74701,81,OFF
74822,90,OFF
74943,90,OFF
75064,85,OFF
75186,85,OFF
75307,85,OFF
75427,90,OFF
75549,90,OFF
75670,85,OFF
75791,85,OFF
75913,90,OFF
76034,85,OFF
76154,90,OFF
76276,85,OFF
76397,85,OFF
76518,85,OFF
76640,85,OFF
76761,85,OFF
76881,90,OFF
77003,90,OFF
77124,85,OFF
77245,90,OFF
77366,85,OFF
77488,90,OFF
77608,90,OFF
77729,85,OFF
77851,90,OFF
77972,90,OFF
78093,85,OFF
78215,85,OFF
78336,90,OFF
78456,90,OFF
78578,85,OFF
78699,85,OFF
78820,85,OFF
78942,85,OFF
79063,90,OFF
79183,90,OFF
79304,90,OFF
79426,90,OFF
79547,90,OFF
79668,85,OFF
79790,90,OFF
79910,85,OFF
80031,81,OFF
80153,85,OFF
80274,85,OFF
80395,85,OFF
80517,85,OFF
80637,85,OFF
80758,85,OFF
80880,90,OFF
81001,85,OFF
81122,90,OFF
81244,90,OFF
81364,85,OFF
81485,94,OFF
81607,90,OFF
81728,90,OFF
81849,85,OFF
81971,85,OFF
82092,85,OFF
82212,85,OFF
82333,90,OFF
82455,90,OFF
82576,85,OFF
82697,85,OFF
82819,90,OFF
82939,90,OFF
83060,90,OFF
83182,85,OFF
83303,90,OFF
83424,85,OFF
83546,94,OFF
83666,90,OFF
83787,85,OFF
83908,85,OFF
84030,90,OFF
84151,85,OFF
84272,90,OFF
84393,103,OFF
84515,72,OFF
84636,90,OFF
84758,90,OFF
84879,90,OFF
85000,81,OFF
85122,85,OFF
85242,85,OFF
85363,85,OFF
85485,90,OFF
85606,90,OFF
85727,90,OFF
85849,85,OFF
85969,85,OFF
86090,90,OFF
86211,90,OFF
86333,90,OFF
86454,90,OFF
86575,94,OFF
86696,90,OFF
86817,85,OFF
86938,85,OFF
87060,85,OFF
87181,90,OFF
87302,85,OFF
87424,85,OFF
87544,90,OFF
87665,90,OFF
87787,85,OFF
87908,90,OFF
88029,85,OFF
88150,85,OFF
88271,85,OFF
88392,85,OFF
88513,85,OFF
88635,85,OFF
88756,85,OFF
88877,85,OFF
88998,85,OFF
89119,85,OFF
89240,90,OFF
89362,81,OFF
89483,85,OFF
89604,85,OFF
89725,85,OFF
89846,85,OFF
89967,90,OFF
90088,90,OFF
90210,85,OFF
90331,85,OFF
90451,90,OFF
90573,85,OFF
90694,90,OFF
90815,85,OFF
90937,85,OFF
91058,81,OFF
91179,85,OFF
91300,85,OFF
91421,90,OFF
91542,90,OFF
91664,85,OFF
91785,85,OFF
91906,90,OFF
92027,85,OFF
92148,85,OFF
92269,85,OFF
92391,85,OFF
92512,85,OFF
92633,90,OFF
92754,81,OFF
92875,85,OFF
92996,81,OFF
93118,90,OFF
93239,85,OFF
93360,85,OFF
93481,90,OFF
93602,90,OFF
93723,90,OFF
93844,85,OFF
93966,85,OFF
94087,90,OFF
94208,85,OFF
94329,85,OFF
94450,90,OFF
94571,85,OFF
94693,90,OFF
